Date,Close,Volume,MA
2004-10-07,0.7075,426148800,0.701904833
2004-10-08,0.6975,359228800,0.7028275
2004-10-11,0.689107,323870400,0.702589333
2004-10-12,0.68375,460191200,0.701101167
2004-10-13,0.709821,1163008000,0.702232
2004-10-14,0.803214,2768427200,0.715148667
2004-10-15,0.8125,1031128000,0.732648667
2004-10-18,0.852679,1200752000,0.758511833
2004-10-19,0.846786,801992800,0.784791667
2004-10-20,0.847679,605108000,0.812113167
2004-10-21,0.856071,724505600,0.836488167
2004-10-22,0.846607,483067200,0.843720333
2004-10-25,0.849107,392644000,0.8498215
2004-10-26,0.856607,594361600,0.850476167
2004-10-27,0.898214,1193494400,0.8590475
2004-10-28,0.931964,864264800,0.873095
2004-10-29,0.935714,810219200,0.886368833
2004-11-01,0.936607,602050400,0.901368833
2004-11-02,0.955357,729988000,0.919077167
2004-11-03,0.987679,1204173600,0.9409225
2004-11-04,0.972321,928625600,0.953273667
2004-11-05,0.977143,1205047200,0.9608035
2004-11-08,0.971071,526920800,0.966696333
2004-11-09,0.965179,475764800,0.971458333
2004-11-10,0.977679,508676000,0.975178667
2004-11-11,0.9875,407299200,0.975148833
2004-11-12,0.991071,395701600,0.978273833
2004-11-15,0.986429,376045600,0.9798215
2004-11-16,0.981071,295103200,0.981488167
2004-11-17,0.980357,397751200,0.984017833
2004-11-18,0.989107,459149600,0.9859225
2004-11-19,0.985179,765279200,0.985535667
2004-11-22,1.095536,2568210400,1.0029465
2004-11-23,1.094107,911450400,1.020892833
2004-11-24,1.14375,1390788000,1.048006
2004-11-26,1.152679,550144000,1.076726333
2004-11-29,1.222143,1712916800,1.115565667
2004-11-30,1.197321,1028518400,1.150922667
2004-12-01,1.210536,800553600,1.170089333
2004-12-02,1.164464,987442400,1.1818155
2004-12-03,1.119286,1238848800,1.177738167
2004-12-06,1.174643,1247920800,1.181398833
2004-12-07,1.123036,1056899200,1.164881
2004-12-08,1.13,691902400,1.153660833
2004-12-09,1.142679,741501600,1.142351333
2004-12-10,1.163393,775773600,1.142172833
2004-12-13,1.159107,395040800,1.148809667
2004-12-14,1.165893,415721600,1.147351333
2004-12-15,1.165357,398361600,1.154404833
2004-12-16,1.189286,1126115200,1.164285833
